bytes	mime	path	public_github_assessment	chrome_publish_assessment
3269	text/plain	.agents/AGENTS.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
5446	text/plain	.agents/DESIGN.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
1653	application/json	.agents/model-rankings.json	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
6325	text/plain	.agents/skills/auth-orchestrator/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
12873	text/plain	.agents/skills/bgagents/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
6503	text/plain	.agents/skills/browser-automation/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
4415	text/html	.agents/skills/career-ops/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
3762	text/plain	.agents/skills/composio-auth/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
3301	text/x-shellscript	.agents/skills/composio-auth/hook-prepend-pending.sh	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
31201	text/plain	.agents/skills/git-awesome/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
2861	text/plain	.agents/skills/markdown-merge/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
15404	text/plain	.agents/skills/pinchtab/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
3771	text/plain	.agents/skills/pinchtab/TRUST.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
226	text/plain	.agents/skills/pinchtab/agents/openai.yaml	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
6960	text/plain	.agents/skills/pinchtab/references/agent-optimization.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
